time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
1.0,60000000.0,314.43,313.54,313.54,3.4869348899999997,0.40999999999996817,313.615,716.6752810899999,68.43898749,,,,
2.0,120000000.0,313.65,313.41,313.65,1.1681621,0.2899999999999636,313.505,157.75942713999999,36.71678237,,,,
3.0,180000000.0,313.65,313.34,313.34,0.66189187,0.1500000000000341,313.41499999999996,13.43204139,54.15950093,,,,
4.0,240000000.0,313.43,313.37,313.37,0.56272824,0.010000000000047748,313.345,0.09276171,12.544574220000001,,,,
5.0,300000000.0,313.37,313.34,313.37,16.71825399,0.160000000000025,313.46000000000004,11.00614943,57.544483199999995,,,,
6.0,360000000.0,313.45,313.38,313.45,0.08001122,0.07999999999998408,313.40999999999997,2.70607904,15.43034698,,,,
7.0,420000000.0,313.37,313.01,313.12,2.5604095,0.4399999999999977,312.88,725.9629414699999,168.16176667,,,,
8.0,480000000.0,313.24,312.77,313.24,1.0052377,0.3199999999999932,313.08000000000004,54.572215449999995,135.3776292,,,,
9.0,540000000.0,313.24,312.79,312.79,4.90229905,0.23999999999995225,312.90999999999997,83.46192608,86.68523235999999,,,,
10.0,600000000.0,313.44,312.94,313.44,1.14978179,0.2599999999999909,313.17,88.53170146999999,93.28674525999999,,,,
11.0,660000000.0,313.47,313.45,313.47,0.33755851,0.009999999999990905,313.455,3.8,9.226844289999999,,,,
12.0,720000000.0,313.65,313.22,313.65,33.68986374,0.009999999999990905,313.645,13.41395036,9.75e-06,0.0007396945510362965,,0.0009389413706467314,
13.0,780000000.0,314.28,313.65,313.97,2.45446997,0.1500000000000341,313.895,6.51853902,61.33260061000001,0.0007564021498381298,,0.0009501336727233602,
14.0,840000000.0,313.89,313.54,313.54,7.1773186,0.010000000000047748,313.53499999999997,54.93532,1.80556066,0.0007784211718956072,0.0014117928565718122,0.000932004093001313,0.0013467161884381223
15.0,900000000.0,313.72,313.54,313.72,3.3680850700000002,0.13999999999998636,313.68,65.06266087,37.13528427,0.0008673408340057611,0.0013711797223444969,0.0010453751689240562,0.001325103532850675
16.0,960000000.0,313.61,313.53,313.53,5.06934721,0.17000000000001592,313.615,65.11877733,58.05854751999999,0.0008711731683176169,0.0013658104872052784,0.0010564948488260555,0.0012694880332957516
17.0,1020000000.0,313.7,313.53,313.53,15.176321750000003,0.10000000000002274,313.58,39.33855322,71.11638047000001,0.0008725494672711297,0.0014096827624469279,0.0010762198839070964,0.0013761529920968763
18.0,1080000000.0,313.63,313.53,313.63,3.90143246,0.09000000000003183,313.575,48.90053385,22.31608342,0.0006564223333969849,0.0012955206378733575,0.0010152986733972336,0.0013397481119502485
19.0,1140000000.0,313.64,313.62,313.64,3.25088286,0.2599999999999909,313.76,91.48468749,115.04323991000001,0.0006442649400578724,0.0012131554116142553,0.0010138860478577404,0.0013337536520630464
20.0,1200000000.0,313.71,313.71,313.71,0.012718910000000003,0.16999999999995907,313.625,65.34103122,52.94561008,0.0006096854931980631,0.0010059949522404528,0.0008737411195745217,0.0010719614565764468
21.0,1260000000.0,314.16,313.67,313.67,21.68480822,0.13999999999998636,313.62,75.74491621,34.14054452,0.000611362225728096,0.0010121354795967874,0.0006348159595608974,0.0010596467399460936
22.0,1320000000.0,313.91,313.55,313.91,9.06131781,0.2400000000000091,313.7,76.00429564,91.22050038000002,0.0005561653665005571,0.0009965749128503275,0.0006380093239615311,0.0010608685714582566
23.0,1380000000.0,313.91,313.55,313.91,0.0,0.3199999999999932,313.78,96.06895133,108.18771620000001,0.0005306211050103464,0.0007868732161420903,0.0006556056451699546,0.000753193662628448
24.0,1440000000.0,313.94,313.62,313.92,0.52855023,0.30000000000001137,314.07000000000005,105.87504308999999,107.30545231000002,0.00047276491003103884,0.0003912066470933967,0.0005764302748056435,0.0006000248597173274
25.0,1500000000.0,314.07,313.54,313.54,90.11984554000001,0.07000000000005002,313.565,1.7385051100000002,16.4164991,0.0003868175496564265,0.0005749516947062977,0.0003612132938581582,0.0006329459742905986
26.0,1560000000.0,313.75,313.6,313.75,4.2994062,0.029999999999972715,313.565,5.35700551,4.83642727,0.0006438549080091297,0.0006011106797867003,0.0005054279893607817,0.0007528682428727218
27.0,1620000000.0,313.8,313.58,313.8,6.397171790000001,0.25,313.815,43.37254981,90.48891831000002,0.0006413555025387678,0.0005694367823383314,0.0005118373169465847,0.0006167950132416726
28.0,1680000000.0,313.94,313.67,313.74,3.79353255,0.17000000000001592,313.83500000000004,19.538845889999997,55.46177383,0.0006842934755739305,0.000633678445824212,0.0005118820110698234,0.00063491288278157
29.0,1740000000.0,314.55,313.77,314.55,23.66399512,0.19999999999998863,314.23,43.62247191,38.95861038,0.0006836499738622719,0.0006669378666533562,0.0005115663947659505,0.0006392998090271469
30.0,1800000000.0,314.32,314.05,314.05,0.31118216,0.13999999999998636,314.12,53.56942549,40.019247629999995,0.0007585497098770255,0.0008936258062319096,0.0009193345150898054,0.0009560144646957346
