time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
1.0,60000000.0,,,,0.0,8.000000000000021e-05,0.03053,350.28377845,141.00050488,,,,
2.0,120000000.0,0.03057,0.03057,0.03057,0.01256522,8.000000000000021e-05,0.03053,423.15001513000004,141.93937699000003,,,,
3.0,180000000.0,0.03057,0.03057,0.03057,0.0,8.000000000000021e-05,0.03053,442.54410836000005,154.83184009000001,,,,
4.0,240000000.0,0.03057,0.03057,0.03057,0.58327423,3.999999999999837e-05,0.03055,39.719133070000005,91.13333837,,,,
5.0,300000000.0,0.03053,0.03053,0.03053,0.06790481,3.999999999999837e-05,0.03055,43.48805235,84.32566837,,,,
6.0,360000000.0,0.03057,0.03053,0.03057,0.02922863,3.999999999999837e-05,0.03055,43.48499664,93.83577511,,,,
7.0,420000000.0,0.03059,0.03049,0.03049,16.67312956,4.000000000000184e-05,0.03052,111.22980199999999,82.38331901,,,,
8.0,480000000.0,0.03054,0.03054,0.03054,0.22859691999999998,4.000000000000184e-05,0.03052,141.0642324,50.238123009999995,,,,
9.0,540000000.0,0.03054,0.0305,0.03054,1.9383503499999999,3.0000000000002247e-05,0.030525,35.137665950000006,11.141646909999999,,,,
10.0,600000000.0,0.03054,0.0305,0.03054,0.0,9.999999999999593e-06,0.030484999999999998,1.2622816,5.29496847,,,,
11.0,660000000.0,0.03048,0.03046,0.03046,0.040471889999999996,2.9999999999998778e-05,0.030475000000000002,28.50674903,21.91926553,,,,
12.0,720000000.0,0.03049,0.03042,0.03043,5.36728332,3.999999999999837e-05,0.0305,13.24884719,45.37230903,0.0005404180315462766,,,
13.0,780000000.0,0.03049,0.03042,0.03043,0.0,3.999999999999837e-05,0.03041,155.40986169,25.30499751,0.000618203572710293,,0.0013675073980558361,
14.0,840000000.0,0.03043,0.03039,0.03043,0.25901109,4.000000000000184e-05,0.03037,131.23627525,45.672153079999994,0.0010525831288115798,0.0009790730448214528,0.0013675073980558361,
15.0,900000000.0,0.0304,0.03035,0.0304,2.2428282399999993,3.999999999999837e-05,0.0304,31.274404429999997,50.63150186,0.0010218858034830734,0.0011763195467112515,0.001367507398055836,0.0016492175836926785
16.0,960000000.0,0.0304,0.03035,0.0304,0.0,3.999999999999837e-05,0.0304,28.906539300000002,51.83276102,0.0011174441673705144,0.001187404697771551,0.0013507658892042437,0.0016533484123036136
17.0,1020000000.0,0.03041,0.03035,0.03035,2.73076612,4.000000000000184e-05,0.03037,138.60614490999998,36.71133373,0.0011174441673705141,0.0010381962489284912,0.0012345809881672044,0.0015988536697904834
18.0,1080000000.0,0.03039,0.03039,0.03039,0.03129254,4.000000000000184e-05,0.030350000000000002,152.45853477999998,59.316177870000004,0.0011176577946053312,0.0011317357357462372,0.0010993937613757243,0.001599742971295546
19.0,1140000000.0,0.03039,0.03039,0.03039,0.0,4.000000000000184e-05,0.030359999999999998,136.52290285,67.84616921,0.0011060725735688416,0.0011202497546207648,0.001040588463256731,0.00153804777668147
