time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
44.0,2640000000.0,283.29,283.29,283.29,0.0,0.839999999999975,283.83000000000004,240.90372792,31.01497735,0.001187769529874039,0.002158801748660137,0.003639178526598525,0.005902353577261653
45.0,2700000000.0,283.29,283.29,283.29,0.0,0.9399999999999977,283.70000000000005,323.52365833,93.18297735,0.0011852528730352193,0.0019488948706481545,0.003639178526598525,0.00580881794601609
46.0,2760000000.0,283.29,283.29,283.29,0.0,0.6200000000000045,283.79,160.66422767,6.52597735,0.0011840859159895016,0.0017099100502444415,0.003425365000460583,0.005811069263681498
47.0,2820000000.0,283.29,283.29,283.29,0.0,1.0199999999999818,283.82,323.88165833000005,106.66297735,0.0006062171851490325,0.0014041926633816479,0.0031467230634119633,0.005811069263681497
48.0,2880000000.0,283.29,283.29,283.29,0.0,1.089999999999975,284.41499999999996,324.03965832999995,66.19815808000001,0.000553899211920428,0.0012702364429285724,0.0026700078773411835,0.005535754300921107
49.0,2940000000.0,283.29,283.29,283.29,0.0,0.7800000000000296,284.53999999999996,253.39722767,51.377977349999995,0.0008857851306204211,0.0014578253484169533,0.0026700078773411835,0.004468951893766569
50.0,3000000000.0,283.29,283.29,283.29,0.0,0.9600000000000364,284.76,324.40215808,51.32697735,0.0007234406991920506,0.0014890633253434554,0.0026700078773411835,0.003948180114826718
51.0,3060000000.0,283.29,283.29,283.29,0.0,0.6200000000000045,284.91,136.55822767,51.34497735,0.0006872759998869054,0.0015397020815567457,0.00017299119417610596,0.003396821652016815
52.0,3120000000.0,283.29,283.29,283.29,0.0,1.0500000000000114,284.655,318.4651580799999,51.18197735,0.0006843357910325015,0.001401629193125557,7.411067193675166e-05,0.0025850442385480276
53.0,3180000000.0,283.29,283.29,283.29,0.0,1.240000000000009,284.46,457.85872792,128.56897735,0.0007620721051799532,0.0013623978355489096,0.0,0.0001105049749759033
54.0,3240000000.0,283.29,283.29,283.29,0.0,0.8499999999999659,284.405,160.07715808,52.014977349999995,0.0008116708634250999,0.0014845424767916155,0.0,7.411067193675166e-05
55.0,3300000000.0,283.29,283.29,283.29,0.0,0.7099999999999795,284.28499999999997,166.84622767,6.60797735,0.0008174124423102588,0.0016493757929641212,0.0,0.0
56.0,3360000000.0,283.29,283.29,283.29,0.0,1.0699999999999932,284.33500000000004,397.67804927,51.267977349999995,0.0008145620584410371,0.001719092604123946,0.0,0.0
57.0,3420000000.0,283.29,283.29,283.29,0.0,1.0200000000000387,284.22,409.58511886,51.26697735,0.0008137411298977253,0.0017323427326105263,0.0,0.0
58.0,3480000000.0,284.94,284.94,284.94,0.67134335,1.25,284.275,447.04904927000007,125.58375709,0.0008333211980484466,0.0017645054341499209,0.0,0.0
59.0,3540000000.0,284.94,284.94,284.94,0.0,1.2899999999999636,284.365,446.06104927,127.74954607000001,0.0005255518058734643,0.0016399117702995776,0.0017473260616329312,0.0017473260616329312
60.0,3600000000.0,284.94,284.94,284.94,0.0,1.1299999999999955,284.235,400.07104926999995,125.32415808,0.0005153194550863092,0.001439497130131511,0.0017473260616329312,0.002329768082177242
61.0,3660000000.0,284.94,284.94,284.94,0.0,1.2399999999999523,284.15999999999997,460.30676244,123.38912629000001,0.0004432048746260239,0.000943176360882931,0.0017473260616329312,0.002669084647067327
62.0,3720000000.0,284.94,284.94,284.94,0.0,1.2200000000000273,284.18,447.7413495099999,123.37737124,0.00037447713350067065,0.0006561749893951973,0.0017473260616329312,0.002669084647067327
63.0,3780000000.0,284.94,284.94,284.94,0.0,1.5200000000000387,284.53999999999996,462.4437624399999,175.8978253,0.00031964975083614323,0.0005813738561508845,0.0017473260616329312,0.002669084647067327
64.0,3840000000.0,284.94,284.94,284.94,0.0,1.2699999999999818,284.545,457.90076243999994,126.42158780000001,0.0004927467173314736,0.0007472613453848788,0.0017473260616329312,0.002669084647067327
65.0,3900000000.0,284.94,284.94,284.94,0.0,1.4599999999999795,284.14,447.39316290999994,128.25756122,0.00048729418071760563,0.000762563912274455,0.0017473260616329312,0.002669084647067327
66.0,3960000000.0,284.94,284.94,284.94,0.0,1.5300000000000296,284.20500000000004,447.42734950999983,128.25316192,0.0006496851342060984,0.0006494745557307052,0.0017473260616329312,0.002669084647067327
67.0,4020000000.0,284.94,284.94,284.94,0.0,1.490000000000009,283.985,493.49552315999995,125.2388056,0.000651720723939615,0.0007345677172594548,0.0017473260616329312,0.002669084647067327
68.0,4080000000.0,284.94,284.94,284.94,0.0,0.8499999999999659,283.975,239.10034951000003,2.37000257,0.0006808610730195662,0.0009245463409021221,0.0017473260616329312,0.002669084647067327
69.0,4140000000.0,284.94,284.94,284.94,0.0,1.400000000000034,284.84000000000003,244.37434951,178.46192606,0.0006750221020721396,0.0009305241870928031,0.0,0.002329768082177242
70.0,4200000000.0,284.94,284.94,284.94,0.0,1.330000000000041,284.195,334.5697624399999,127.39250873,0.00116468108032868,0.001190840774243475,0.0,0.0017473260616329312
71.0,4260000000.0,284.94,284.94,284.94,0.0,1.0600000000000023,284.13,165.61534951,123.31023539,0.0013697666490960394,0.0012126963284873598,0.0,0.0
72.0,4320000000.0,284.94,284.94,284.94,0.0,1.650000000000034,284.78499999999997,323.8583495099999,162.88987805,0.001369163700698429,0.0012107473135191346,0.0,0.0
73.0,4380000000.0,284.94,284.94,284.94,0.0,0.8600000000000136,284.64,146.73145832,49.58922916,0.0015361964145192658,0.001188332947327863,0.0,0.0
74.0,4440000000.0,284.96,284.96,284.96,0.04540692,0.8199999999999932,284.54999999999995,155.70945832,47.75108652,0.0015065751387244434,0.0012333451841903798,0.0,0.0
75.0,4500000000.0,284.96,284.96,284.96,0.0,1.5199999999999818,284.73,413.7657624399999,178.80347698,0.0015103121024777838,0.0012450125125967257,2.105706464516931e-05,2.105706464516931e-05
76.0,4560000000.0,284.96,284.96,284.96,0.0,0.7800000000000296,284.98,69.46387125,53.42929489,0.0014404909661230628,0.001246755721369158,2.105706464516931e-05,2.8076086193559075e-05
77.0,4620000000.0,284.96,284.96,284.96,0.0,1.2299999999999613,284.58500000000004,413.0547624399999,125.16155145000002,0.0014545053281360607,0.0011772554470759842,2.105706464516931e-05,3.216519755002227e-05
78.0,4680000000.0,285.89,284.64,284.64,1.21526399,1.7099999999999795,284.95500000000004,450.2789917699999,178.26114212000002,0.001509138968118997,0.0008687262311068043,2.105706464516931e-05,3.216519755002227e-05
79.0,4740000000.0,283.96,283.96,283.96,0.67134335,1.400000000000034,284.6,418.5873495099999,183.56547437,0.001540098760817779,0.0007583128656171557,0.00033987392116834254,0.0003453379901157991
80.0,4800000000.0,284.07,284.07,284.07,0.04540692,1.150000000000034,284.725,324.6843495099999,182.56547437,0.0013083783157564332,0.000847068282012817,0.0007608314429192674,0.0010786871768274935
81.0,4860000000.0,284.07,284.07,284.07,0.0,1.3100000000000023,284.735,404.0223495099999,182.56547437,0.001091054056955116,0.0008424870865666339,0.0007867879812652912,0.001328641067859017
82.0,4920000000.0,284.07,284.07,284.07,0.0,0.8899999999999864,284.855,168.64787124999998,106.17947437,0.0010838501915670922,0.0009165396669552565,0.0007867879812652912,0.0013505630072026254
83.0,4980000000.0,284.07,284.07,284.07,0.0,1.2300000000000182,284.515,413.01353328,182.56547437,0.0008402031244994066,0.0009143743674788134,0.0007867879812652912,0.0013825684195071964
84.0,5040000000.0,284.07,284.07,284.07,0.0,1.1099999999999568,284.525,333.3997624399999,183.44685841,0.0009062069703434295,0.0008874785399907715,0.0007867879812652912,0.0013825684195071964
85.0,5100000000.0,284.86,284.86,284.86,0.03501523,1.1399999999999864,284.32,401.39734950999986,186.08085841000002,0.000901753981548314,0.0008125759998125362,0.0007837127308454267,0.00137771353223256
86.0,5160000000.0,284.16,284.16,284.16,13.554412929999998,1.2099999999999795,284.275,397.0403495099999,200.35452194,0.000896928587278101,0.0009856628603856512,0.0012182172555384985,0.0017600980366707843
